,Cluster
ENSG00000000419,5
ENSG00000000460,2
ENSG00000000938,0
ENSG00000001036,2
ENSG00000001461,2
ENSG00000001497,5
ENSG00000001629,2
ENSG00000001631,8
ENSG00000002330,2
ENSG00000002549,0
ENSG00000002586,3
ENSG00000002822,8
ENSG00000002834,2
ENSG00000003056,0
ENSG00000003402,10
ENSG00000003436,1
ENSG00000003756,8
ENSG00000004059,1
ENSG00000004142,8
ENSG00000004455,8
ENSG00000004487,8
ENSG00000004534,0
ENSG00000004700,0
ENSG00000004766,5
ENSG00000004779,8
ENSG00000004866,1
ENSG00000004897,7
ENSG00000005007,10
ENSG00000005020,3
ENSG00000005022,0
ENSG00000005059,0
ENSG00000005075,2
ENSG00000005175,7
ENSG00000005194,2
ENSG00000005238,10
ENSG00000005249,6
ENSG00000005302,8
ENSG00000005339,8
ENSG00000005483,9
ENSG00000005486,2
ENSG00000005700,8
ENSG00000005810,7
ENSG00000005812,2
ENSG00000005844,8
ENSG00000005882,10
ENSG00000005893,7
ENSG00000005955,0
ENSG00000005961,6
ENSG00000006007,7
ENSG00000006015,8
ENSG00000006114,8
ENSG00000006125,7
ENSG00000006459,7
ENSG00000006576,10
ENSG00000006638,10
ENSG00000006652,9
ENSG00000006712,8
ENSG00000006715,7
ENSG00000006744,8
ENSG00000007080,5
ENSG00000007168,8
ENSG00000007202,8
ENSG00000007255,8
ENSG00000007264,8
ENSG00000007312,8
ENSG00000007341,2
ENSG00000007392,8
ENSG00000007520,8
ENSG00000008018,0
ENSG00000008083,7
ENSG00000008130,8
ENSG00000008282,8
ENSG00000008294,5
ENSG00000008405,5
ENSG00000008513,10
ENSG00000008517,8
ENSG00000008838,5
ENSG00000008869,5
ENSG00000008952,4
ENSG00000008988,4
ENSG00000009307,9
ENSG00000009335,8
ENSG00000009413,5
ENSG00000009790,0
ENSG00000009844,8
ENSG00000009954,5
ENSG00000010017,10
ENSG00000010244,0
ENSG00000010256,0
ENSG00000010270,7
ENSG00000010278,3
ENSG00000010292,8
ENSG00000010295,5
ENSG00000010322,5
ENSG00000010327,8
ENSG00000010404,10
ENSG00000010610,5
ENSG00000010671,9
ENSG00000010810,9
ENSG00000011007,5
ENSG00000011009,8
ENSG00000011105,10
ENSG00000011132,5
ENSG00000011198,2
ENSG00000011243,8
ENSG00000011258,7
ENSG00000011260,0
ENSG00000011275,10
ENSG00000011295,2
ENSG00000011304,7
ENSG00000011405,2
ENSG00000011422,5
ENSG00000011454,7
ENSG00000011485,2
ENSG00000011523,2
ENSG00000011600,0
ENSG00000011638,2
ENSG00000012061,10
ENSG00000012124,2
ENSG00000012223,5
ENSG00000012660,5
ENSG00000012779,8
ENSG00000012817,5
ENSG00000012822,1
ENSG00000012983,9
ENSG00000013016,1
ENSG00000013275,0
ENSG00000013288,5
ENSG00000013306,0
ENSG00000013364,0
ENSG00000013374,8
ENSG00000013441,0
ENSG00000013561,2
ENSG00000013583,2
ENSG00000013725,8
ENSG00000013810,7
ENSG00000014123,8
ENSG00000014216,3
ENSG00000014641,0
ENSG00000014824,8
ENSG00000015133,10
ENSG00000015171,10
ENSG00000015285,5
ENSG00000015475,7
ENSG00000015479,1
ENSG00000015532,2
ENSG00000016864,5
ENSG00000017260,1
ENSG00000017483,2
ENSG00000017797,10
ENSG00000018189,5
ENSG00000018280,5
ENSG00000018510,5
ENSG00000018699,5
ENSG00000019582,9
ENSG00000020426,2
ENSG00000020633,5
ENSG00000020922,8
ENSG00000021355,9
ENSG00000021574,2
ENSG00000021762,5
ENSG00000021776,8
ENSG00000022267,9
ENSG00000022277,7
ENSG00000022840,9
ENSG00000023041,5
ENSG00000023191,7
ENSG00000023228,8
ENSG00000023287,0
ENSG00000023318,0
ENSG00000023330,5
ENSG00000023445,5
ENSG00000023697,1
ENSG00000023734,1
ENSG00000023892,8
ENSG00000023902,9
ENSG00000023909,7
ENSG00000024048,0
ENSG00000024862,2
ENSG00000025293,0
ENSG00000025708,0
ENSG00000025770,5
ENSG00000025796,0
ENSG00000026025,4
ENSG00000026297,8
ENSG00000026508,0
ENSG00000026950,2
ENSG00000027075,8
ENSG00000027697,0
ENSG00000027869,5
ENSG00000028116,10
ENSG00000028137,8
ENSG00000028203,2
ENSG00000028277,5
ENSG00000028310,5
ENSG00000028528,7
ENSG00000028839,7
ENSG00000029363,0
ENSG00000029534,1
ENSG00000029725,8
ENSG00000030066,5
ENSG00000030110,5
ENSG00000030582,0
ENSG00000031003,7
ENSG00000031698,0
ENSG00000032219,0
ENSG00000032444,5
ENSG00000032742,10
ENSG00000033050,5
ENSG00000033170,10
ENSG00000033178,5
ENSG00000033627,10
ENSG00000033800,7
ENSG00000034053,5
ENSG00000034152,9
ENSG00000034510,4
ENSG00000034713,9
ENSG00000035403,6
ENSG00000035681,8
ENSG00000035687,8
ENSG00000035928,10
ENSG00000036054,7
ENSG00000036257,0
ENSG00000037042,2
ENSG00000037474,8
ENSG00000037637,5
ENSG00000038002,5
ENSG00000038219,0
ENSG00000038274,7
ENSG00000038358,5
ENSG00000038427,8
ENSG00000038532,5
ENSG00000039123,8
ENSG00000039650,2
ENSG00000040341,7
ENSG00000040531,10
ENSG00000040933,5
ENSG00000041353,1
ENSG00000041357,0
ENSG00000041802,5
ENSG00000042062,2
ENSG00000042088,5
ENSG00000042429,5
ENSG00000042493,8
ENSG00000042753,7
ENSG00000042980,5
ENSG00000043093,10
ENSG00000043462,7
ENSG00000044115,7
ENSG00000044446,5
ENSG00000044459,7
ENSG00000044574,0
ENSG00000046651,4
ENSG00000047188,8
ENSG00000047249,8
ENSG00000047315,0
ENSG00000047365,8
ENSG00000047410,4
ENSG00000047579,5
ENSG00000047597,2
ENSG00000047617,2
ENSG00000047644,10
ENSG00000047648,1
ENSG00000047849,5
ENSG00000048028,5
ENSG00000048052,2
ENSG00000048471,5
ENSG00000048544,2
ENSG00000048649,1
ENSG00000048707,8
ENSG00000048740,9
ENSG00000048828,2
ENSG00000048991,2
ENSG00000049245,2
ENSG00000049323,3
ENSG00000049541,2
ENSG00000049618,2
ENSG00000049656,0
ENSG00000049860,8
ENSG00000050130,10
ENSG00000050393,3
ENSG00000050748,2
ENSG00000051108,8
ENSG00000051382,1
ENSG00000051523,4
ENSG00000051620,8
ENSG00000051825,2
ENSG00000052126,2
ENSG00000052749,5
ENSG00000052841,8
ENSG00000053108,10
ENSG00000053254,8
ENSG00000053371,7
ENSG00000053770,2
ENSG00000053900,8
ENSG00000054116,8
ENSG00000054118,8
ENSG00000054267,4
ENSG00000054282,7
ENSG00000054356,10
ENSG00000054523,2
ENSG00000054611,10
ENSG00000054654,0
ENSG00000054983,5
ENSG00000055044,0
ENSG00000055070,2
ENSG00000055130,0
ENSG00000055163,4
ENSG00000055208,10
ENSG00000055211,2
ENSG00000055332,8
ENSG00000055483,5
ENSG00000055609,1
ENSG00000055917,8
ENSG00000056050,5
ENSG00000056097,7
ENSG00000056586,7
ENSG00000057252,5
ENSG00000057608,7
ENSG00000057663,5
ENSG00000057757,2
ENSG00000058063,10
ENSG00000058091,10
ENSG00000058262,8
ENSG00000058272,9
ENSG00000058600,5
ENSG00000058673,7
ENSG00000058799,5
ENSG00000058866,10
ENSG00000059377,1
ENSG00000059378,5
ENSG00000059588,5
ENSG00000059728,8
ENSG00000059758,10
ENSG00000059804,1
ENSG00000060138,9
ENSG00000060237,2
ENSG00000060339,7
ENSG00000060491,5
ENSG00000060558,10
ENSG00000060688,8
ENSG00000060762,2
ENSG00000060971,8
ENSG00000061676,1
ENSG00000061794,5
ENSG00000061918,9
ENSG00000061936,8
ENSG00000061987,5
ENSG00000062194,7
ENSG00000062485,8
ENSG00000062598,10
ENSG00000062650,0
ENSG00000062716,8
ENSG00000062725,5
ENSG00000062822,5
ENSG00000063046,0
ENSG00000063177,4
ENSG00000063245,2
ENSG00000063854,8
ENSG00000063978,5
ENSG00000064012,8
ENSG00000064102,5
ENSG00000064115,7
ENSG00000064201,10
ENSG00000064225,10
ENSG00000064313,8
ENSG00000064393,10
ENSG00000064419,8
ENSG00000064490,5
ENSG00000064601,6
ENSG00000064652,2
ENSG00000064666,7
ENSG00000064687,8
ENSG00000064726,10
ENSG00000064933,2
ENSG00000064961,1
ENSG00000064999,2
ENSG00000065000,0
ENSG00000065029,5
ENSG00000065060,2
ENSG00000065135,0
ENSG00000065150,8
ENSG00000065154,5
ENSG00000065183,5
ENSG00000065243,2
ENSG00000065268,5
ENSG00000065357,0
ENSG00000065413,8
ENSG00000065427,0
ENSG00000065457,2
ENSG00000065518,7
ENSG00000065526,8
ENSG00000065534,3
ENSG00000065548,8
ENSG00000065559,2
ENSG00000065600,2
ENSG00000065613,0
ENSG00000065615,7
ENSG00000065675,7
ENSG00000065809,10
ENSG00000065833,10
ENSG00000065882,10
ENSG00000065883,5
ENSG00000065911,10
ENSG00000065970,2
ENSG00000065978,7
ENSG00000066027,7
ENSG00000066044,10
ENSG00000066136,8
ENSG00000066185,10
ENSG00000066294,10
ENSG00000066322,5
ENSG00000066336,8
ENSG00000066455,5
ENSG00000066654,2
ENSG00000066697,10
ENSG00000066777,10
ENSG00000066926,5
ENSG00000066933,5
ENSG00000067048,5
ENSG00000067057,7
ENSG00000067064,5
