"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000134419",2.72812833461142,7.70973256041711,67.9708732951547,1.65928562013209e-16,1.34933106629141e-12
"ENSG00000237542",6.45402702053765,3.74682162000385,62.8620774980963,2.21699982954235e-15,9.01432130691918e-12
"ENSG00000168924",2.45699610859392,3.83863051237604,60.7910779406967,6.34649055445093e-15,1.7203220396265e-11
"ENSG00000223551",4.5451464401989,5.69798074794289,57.5946582340162,3.22099153285049e-14,6.54827578628505e-11
"ENSG00000141068",-2.01888778561914,6.90321540042169,55.3569745456107,1.005125979829e-13,1.3752680753205e-10
"ENSG00000145649",3.75879819392242,4.5569986320628,55.3383235955797,1.01470836841158e-13,1.3752680753205e-10
"ENSG00000147168",3.10814331037075,7.12672495273834,54.545899502239,1.5185918338982e-13,1.76416982760859e-10
"ENSG00000100453",3.27374482037769,5.81378699476553,53.4172737583797,2.69714785922721e-13,2.60512265671349e-10
"ENSG00000125691",2.35085007702064,8.51603516204294,53.28624018077,2.88319034805969e-13,2.60512265671349e-10
"ENSG00000167286",3.85059780659195,5.45425317465522,52.8614204557795,3.57931408951763e-13,2.91069821759574e-10
"ENSG00000105374",2.52748667646571,6.78626418769168,51.8950841462139,5.85468109746431e-13,4.32820606223452e-10
"ENSG00000211772",2.39032736734757,7.04885347912423,51.5610553446659,6.94047633025272e-13,4.70332945980126e-10
"ENSG00000225972",3.83348415594202,6.44711287368872,50.4661451160152,1.21238293658916e-12,7.04498391993729e-10
"ENSG00000198242",2.67852915199892,7.83573253565563,50.4653730379767,1.21285999605413e-12,7.04498391993729e-10
"ENSG00000141524",3.83099942903989,5.47400149188098,49.8893071309018,1.62668739229648e-12,8.81881458276996e-10
"ENSG00000187653",4.18334362055041,6.47939740445512,49.3767650087653,2.11232736462361e-12,1.07359038306995e-09
"ENSG00000131469",2.43350073304353,8.39757309240913,49.2273605581417,2.27949005259778e-12,1.09040077104266e-09
"ENSG00000163682",2.26696271175069,9.31966521857181,48.6940109771307,2.99178633989363e-12,1.35162258422305e-09
"ENSG00000172809",2.55676924060149,7.70796635435228,48.5687971070623,3.18902989497639e-12,1.3649047950499e-09
"ENSG00000142676",2.14379128725446,8.7781625706044,48.386708522297,3.49931979481104e-12,1.42282342857017e-09
"ENSG00000142937",2.11327759279186,8.37980851354028,47.4530832103954,5.63362671379846e-12,2.18155487793377e-09
"ENSG00000262902",4.2944346096259,3.23956906461391,47.0696254862018,6.85092158005607e-12,2.53234974040982e-09
"ENSG00000165970",2.7462815198731,4.69719029982574,46.8953599884069,7.48797842728003e-12,2.62593088222972e-09
"ENSG00000177600",2.47575444215444,8.85588016837686,46.7965421279762,7.87522410696536e-12,2.62593088222972e-09
"ENSG00000071082",2.53939845105938,8.7576140680537,46.69716716121,8.28486848841538e-12,2.62593088222972e-09
"ENSG00000177954",2.2824285114619,10.5049564125547,46.6711148893018,8.39574556541721e-12,2.62593088222972e-09
"ENSG00000204628",1.29351980805817,9.4301770445692,46.3566160161976,9.85740977001044e-12,2.90355616925101e-09
"ENSG00000127184",2.11954324810563,6.70148397209696,46.3289684023289,9.99748803972312e-12,2.90355616925101e-09
"ENSG00000145592",2.47013196297948,8.11714201973748,46.104812684244,1.12092761761746e-11,3.14323565050524e-09
"ENSG00000081237",2.70287283445269,8.81737576052877,46.0103858324735,1.1762774702472e-11,3.18849612935008e-09
"ENSG00000100316",1.42109427681115,10.5777228636118,45.6412807789262,1.42016832967972e-11,3.72542221192112e-09
"ENSG00000260017",-1.43524841873878,6.50898777150966,45.549700663107,1.48814422824036e-11,3.7817465200158e-09
"ENSG00000247627",4.08301549424406,4.48206720080581,45.4508895753008,1.56514432414955e-11,3.85689504363156e-09
"ENSG00000197756",2.42311503922516,8.0276941373171,45.3584707283503,1.64076832978729e-11,3.92433178171478e-09
"ENSG00000171863",1.94520473117738,8.07330934596734,45.1974930145045,1.78132971418219e-11,4.13879235306559e-09
"ENSG00000215788",5.42301236637574,2.95334856782733,44.9559248808615,2.01519550070301e-11,4.55210272547691e-09
"ENSG00000137154",1.94842614401186,9.87631242855851,44.8853863593265,2.08911184687608e-11,4.5877957536413e-09
"ENSG00000197728",2.51888610299951,7.62995818633439,44.8347597708224,2.14382979142117e-11,4.5877957536413e-09
"ENSG00000169020",2.52808243722269,5.33807983045879,44.6413821097247,2.36636874661589e-11,4.93418221730268e-09
"ENSG00000152795",2.1758540881808,6.58041183533055,44.5126981586025,2.52712798829849e-11,5.06893012786528e-09
"ENSG00000197958",1.94460019685078,9.2266031121832,44.4907192462355,2.55565832811702e-11,5.06893012786528e-09
"ENSG00000229344",3.82596153098128,5.60608925017876,44.406053891754,2.66860598459107e-11,5.16692949207014e-09
"ENSG00000168028",1.8140756607429,8.09283788335573,44.0945864461139,3.12885075954148e-11,5.917166134091e-09
"ENSG00000115523",2.80937859444994,8.1221121318558,43.7926147842609,3.65080046316726e-11,6.73157209941106e-09
